strain	temp	timepoint	OD600	od_factor	total_time_h	time_since_dil_h	blank_od	timestamp	date	batch	MPN
ST00154	28	t_3	0.291	1	72	24	-0.003	12:47:00	2024-07-12	ML1	NA
ST00143	28	t_0	0.001	NA	0	0	NA	13:03:00	2024-07-09	ML1	NA
ST00143	28	t_3	0.114	1	72	24	-0.003	12:47:00	2024-07-12	ML1	NA
ST00110	28	t_0	0.001	NA	0	0	NA	13:03:00	2024-07-09	ML1	NA
ST00110	28	t_3	0.151	1	72	24	-0.003	12:47:00	2024-07-12	ML1	NA
ST00109	28	t_0	0.001	NA	0	0	NA	13:03:00	2024-07-09	ML1	NA
ST00109	28	t_3	0.039	1	72	24	-0.003	12:47:00	2024-07-12	ML1	NA
ST00154	32	t_0	0.001	NA	0	0	NA	13:03:00	2024-07-09	ML1	NA
ST00154	32	t_3	0.278	1	72	24	0.002	12:50:00	2024-07-12	ML1	NA
ST00143	32	t_0	0.001	NA	0	0	NA	13:03:00	2024-07-09	ML1	NA
ST00143	32	t_3	0.165	1	72	24	0.002	12:50:00	2024-07-12	ML1	NA
ST00110	32	t_0	0.001	NA	0	0	NA	13:03:00	2024-07-09	ML1	NA
ST00110	32	t_3	0.146	1	72	24	0.002	12:50:00	2024-07-12	ML1	NA
ST00109	32	t_0	0.001	NA	0	0	NA	13:03:00	2024-07-09	ML1	NA
ST00109	32	t_3	0.057999999999999996	1	72	24	0.002	12:50:00	2024-07-12	ML1	NA
